issue,candidate,keyword,mention_count,importance,rank,rank_change,basis,confidence,data_type,note
도시개발,오세훈,감사의 정원,2100,100,1,99,"공간대전환, 용산, 감사의 정원, 광화문 공간 논란 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
도시개발,오세훈,용산국제업무,1050,84,2,3,"공간대전환, 용산, 감사의 정원, 광화문 공간 논란 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
도시개발,오세훈,207억,940,80,3,99,"공간대전환, 용산, 감사의 정원, 광화문 공간 논란 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
지하화,정원오,경부선 지하화,1050,94,1,99,"경부선 지하화, 지하도시고속도로 기반",중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
지하화,정원오,대서울 성장축,760,82,2,5,"경부선 지하화, 지하도시고속도로 기반",중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
지하화,오세훈,지하도시고속도로,720,78,1,5,"경부선 지하화, 지하도시고속도로 기반",중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
지하화,오세훈,강북횡단,520,70,2,3,"경부선 지하화, 지하도시고속도로 기반",중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
재개발,정원오,착착개발,1100,91,1,2,"착착개발, 쾌속통합, 신통AI기획 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
재개발,정원오,공공재개발,810,78,2,1,"착착개발, 쾌속통합, 신통AI기획 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
재개발,오세훈,쾌속통합,1420,95,1,4,"착착개발, 쾌속통합, 신통AI기획 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
재개발,오세훈,신통AI기획,980,84,2,99,"착착개발, 쾌속통합, 신통AI기획 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
주거,정원오,36만호,1300,93,1,99,"36만호·31만호, 공급 속도전, 전월세 이슈 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
주거,정원오,전월세,920,80,2,3,"36만호·31만호, 공급 속도전, 전월세 이슈 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
주거,오세훈,31만호,1850,100,1,3,"36만호·31만호, 공급 속도전, 전월세 이슈 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
주거,오세훈,쾌속 공급,1020,82,2,2,"36만호·31만호, 공급 속도전, 전월세 이슈 기반",높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책,정원오,X정치,720,85,1,2,"X/SNS 확산, 청년수당·청년문화 정책 노출 기반",낮음~중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책,정원오,원오위키,620,78,2,4,"X/SNS 확산, 청년수당·청년문화 정책 노출 기반",낮음~중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책,오세훈,청년수당,620,75,1,1,"X/SNS 확산, 청년수당·청년문화 정책 노출 기반",낮음~중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책,오세훈,청년문화,520,70,2,2,"X/SNS 확산, 청년수당·청년문화 정책 노출 기반",낮음~중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
